keyword,score
uno,5.397078474078088e-05
mujer,0.0001720255746926505
con,0.0003037433411989278
haber,0.0003791284674275906
del,0.00039124781039692736
más,0.0005602442229356171
tener,0.0005853459214613356
hacer,0.000913988184956995
violencia,0.0009290294758078411
año,0.00133648545381114
otro,0.0014978298561604813
nuestro,0.0015905539701692205
día,0.0016919060199799797
persona,0.0019624492411675827
ese,0.00200902714858415
cuando,0.0021436659720068104
pero,0.0021732980575461074
mucho,0.0023407599041630604
género,0.002541084907443103
donde,0.0025916512893533043
