keyword,score
uno,8.052395038205772e-05
mujer,0.0001759863237485773
haber,0.0002217336326654796
tener,0.0003833657454567142
con,0.00038875226526766837
mucho,0.0005978443698866039
hacer,0.0005983941426524963
día,0.0007157331288461491
del,0.0007485270859688833
pero,0.000873759695250712
más,0.0008823597318235238
ese,0.0011221279446283407
nuestro,0.0011363780598183334
hombre,0.0012164952196114685
feminista,0.00155403807265731
qué,0.0017028669964468711
otro,0.0019164775819457709
querer,0.002080473332961632
decir,0.002083273099514251
violencia,0.0022084616850209867
