keyword,score
mulher,7.050826049752166e-05
homem,0.00042089583272352063
pra,0.0005147299692365653
pessoa,0.0012551094600515551
mesmo,0.001523742901345894
violência,0.0016733826959295334
querer,0.0019879594973529887
corpo,0.002322711066956056
vida,0.002593203126761834
falar,0.002698609782565659
sociedade,0.0028922870270444534
algum,0.0029359546287957908
passar,0.0036927883538130234
precisar,0.003743255877013373
gente,0.004200526125219827
filho,0.004489035976802713
achar,0.004803365643544974
dever,0.005093526940998719
beleza,0.005231292828763916
mulheres,0.005285996374823581
