keyword,score
mulher,9.767865737665865e-05
violência,0.0003673775741545097
rapariga,0.0021230906771804287
fórum,0.002228655681969685
criança,0.0025628528118895153
mulheres,0.002739095073840186
sociedade,0.0029264877270253615
mesmo,0.003034187046231086
vida,0.0031022225324137177
direito,0.003153523662202206
dever,0.003376124329911958
união,0.0039729559582175515
lei,0.004061085417277728
moçambique,0.004136240798621159
civil,0.004327109082834768
caso,0.004396934604194596
homem,0.005328385737404251
saber,0.005344196162621804
vítima,0.005722507561686931
sexual,0.00608745740583442
